#SampleID	Metaphlan2_Analysis
Archaea|Halobacteriota|Methanosarcinia|Methanosarcinales|Methanosarcinaceae|Methanosarcina|	7
Archaea|Halobacteriota|Methanosarcinia|Methanosarcinales|Methanosarcinaceae|Methanosarcina|Methanosarcina sp003164755	7
Archaea|Methanobacteriota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobacterium_B|Methanobacterium_B sp003151535	7
Archaea|Thermoplasmatota|E2|JACPAO01|JAHFTW01||	7
Archaea|Thermoplasmatota|E2|JACPAO01|JAHFTW01|JAHFTW01|	7
Archaea|Thermoproteota|Bathyarchaeia|40CM-2-53-6|40CM-2-53-6|40CM-2-53-6|	7
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae||	7
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae|JACMLC01|	7
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae|PSRF01|	35
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae|UBA11740|	56
Bacteria|Acidobacteriota|Blastocatellia|UBA7656|UBA7656|JADGNW01|	7
Bacteria|Acidobacteriota|Terriglobia|20CM-2-55-15|20CM-2-55-15|20CM-2-55-15|	7
Bacteria|Acidobacteriota|Terriglobia|Acidoferrales|UBA7541||	14
Bacteria|Acidobacteriota|Terriglobia|Acidoferrales|UBA7541|Acidoferrum|	105
Bacteria|Acidobacteriota|Terriglobia|Acidoferrales|UBA7541|Palsa-295|	63
Bacteria|Acidobacteriota|Terriglobia|Acidoferrales|UBA7541|Palsa-360|	7
Bacteria|Acidobacteriota|Terriglobia|Bryobacterales|Bryobacteraceae||	7
Bacteria|Acidobacteriota|Terriglobia|Bryobacterales|Bryobacteraceae|Bog-105|	7
Bacteria|Acidobacteriota|Terriglobia|Bryobacterales|Bryobacteraceae|CAIVVT01|	7
Bacteria|Acidobacteriota|Terriglobia|Bryobacterales|Bryobacteraceae|Palsa-187|	7
Bacteria|Acidobacteriota|Terriglobia|Bryobacterales|Bryobacteraceae|Palsa-89|	14
Bacteria|Acidobacteriota|Terriglobia|Bryobacterales|Bryobacteraceae|Solibacter|	14
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|Acidobacteriaceae|Bryocella|	7
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|Acidobacteriaceae|Edaphobacter|	7
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|Acidobacteriaceae|Granulicella_A|	7
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|Acidobacteriaceae|JAJXYY01|	7
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|Acidobacteriaceae|KBS-83|	7
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|Acidobacteriaceae|PALSA-350|	7
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|Acidobacteriaceae|Paracidobacterium|	7
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|Acidobacteriaceae|Silvibacterium|	7
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|Acidobacteriaceae|Terracidiphilus|	14
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|Gp1-AA117|Angelobacter|	21
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|JAJPJE01|JAJPJE01|	7
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|SbA1||	21
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|SbA1|Bog-209|	21
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|SbA1|Gp1-AA124|	7
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|SbA1|Gp1-AA145|	56
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|SbA1|JAIQFF01|	21
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|SbA1|QIAJ01|	7
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|SbA1|Sulfotelmatobacter|	119
Bacteria|Acidobacteriota|Terriglobia|Terriglobales|SbA1|Sulfotelmatobacter|Sulfotelmatobacter sp003166855	7
Bacteria|Acidobacteriota|Thermoanaerobaculia|Gp7-AA8|Gp7-AA8||	7
Bacteria|Acidobacteriota|Thermoanaerobaculia|Gp7-AA8|Gp7-AA8|JADGNZ01|	7
Bacteria|Acidobacteriota|Thermoanaerobaculia|Gp7-AA8|Gp7-AA8|JAJPHC01|	7
Bacteria|Acidobacteriota|Thermoanaerobaculia|Gp7-AA8|Gp7-AA8|QHVT01|	7
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5066|Gp7-AA6|Gp7-AA6|	7
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5704|UBA5704||	14
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5704|UBA5704|JAGPDF01|	7
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5704|UBA5704|UBA5704|	7
Bacteria|Acidobacteriota|Vicinamibacteria|Fen-336|Fen-336||	14
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|||	7
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|2-12-FULL-66-21||	14
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|2-12-FULL-66-21|2-12-FULL-66-21|	7
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|SCN-69-37||	7
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|UBA2999||	28
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|UBA2999|Gp6-AA40|	14
