#SampleID	Metaphlan2_Analysis
d__Archaea	38
d__Archaea|p__Halobacteriota	2
d__Archaea|p__Halobacteriota|c__Methanosarcinia	2
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales	2
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales|f__Methanosarcinaceae	2
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina	2
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__	1
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina sp003164755	1
d__Archaea|p__Methanobacteriota	1
d__Archaea|p__Methanobacteriota|c__Methanobacteria	1
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	1
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	1
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium_B	1
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium_B|s__Methanobacterium_B sp003151535	1
d__Archaea|p__Thermoplasmatota	2
d__Archaea|p__Thermoplasmatota|c__E2	2
d__Archaea|p__Thermoplasmatota|c__E2|o__JACPAO01	2
d__Archaea|p__Thermoplasmatota|c__E2|o__JACPAO01|f__JAHFTW01	2
d__Archaea|p__Thermoplasmatota|c__E2|o__JACPAO01|f__JAHFTW01|g__	1
d__Archaea|p__Thermoplasmatota|c__E2|o__JACPAO01|f__JAHFTW01|g__|s__	1
d__Archaea|p__Thermoplasmatota|c__E2|o__JACPAO01|f__JAHFTW01|g__JAHFTW01	1
d__Archaea|p__Thermoplasmatota|c__E2|o__JACPAO01|f__JAHFTW01|g__JAHFTW01|s__	1
d__Archaea|p__Thermoproteota	33
d__Archaea|p__Thermoproteota|c__Bathyarchaeia	1
d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6	1
d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__40CM-2-53-6	1
d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__40CM-2-53-6|g__40CM-2-53-6	1
d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__40CM-2-53-6|g__40CM-2-53-6|s__	1
d__Archaea|p__Thermoproteota|c__Nitrososphaeria	32
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales	32
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae	32
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__JAFAQB01	2
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__JAFAQB01|s__	2
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__JAJNBK01	7
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__JAJNBK01|s__	7
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrosopolaris	1
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrosopolaris|s__Nitrosopolaris rasttigaisensis	1
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrososphaera	9
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrososphaera|s__	9
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__TA-21	4
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__TA-21|s__	1
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__TA-21|s__TA-21 sp014523495	3
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__TH5893	5
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__TH5893|s__	5
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__TH5896	4
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__TH5896|s__	4
d__Bacteria	1092
d__Bacteria|p__Acidobacteriota	181
d__Bacteria|p__Acidobacteriota|c__Blastocatellia	29
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales	25
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae	25
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__|s__	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__JACMLC01	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__JACMLC01|s__	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__OLB17	1
