#SampleID	Metaphlan2_Analysis
d__Bacteria	88
d__Bacteria|p__Acidobacteriota	13
d__Bacteria|p__Acidobacteriota|c__Terriglobia	12
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales	6
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541	6
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541|g__Acidoferrum	5
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541|g__Acidoferrum|s__	5
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541|g__Palsa-295	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541|g__Palsa-295|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__PALSA-243	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__PALSA-243|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales	5
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae	4
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Bryocella	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Bryocella|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Edaphobacter	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Edaphobacter|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Granulicella_A	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Granulicella_A|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__UBA5172	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__UBA5172|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__Sulfotelmatobacter	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__Sulfotelmatobacter|s__	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__UBA5704	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__UBA5704|s__	1
d__Bacteria|p__Actinomycetota	25
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia	2
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-473	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-473|s__	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__IMCC26256	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-610	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-610|g__PALSA-610	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-610|g__PALSA-610|s__	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia	14
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__|f__	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__|f__|g__	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__|f__|g__|s__	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Actinomycetales	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Lacisediminihabitans	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Lacisediminihabitans|s__	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales	10
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales|f__Micromonosporaceae	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales|f__Micromonosporaceae|g__	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales|f__Micromonosporaceae|g__|s__	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales|f__Mycobacteriaceae	5
